,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
0,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,50-59,32,1.0
1,Man,Man,1.0,Black,asian,1.0,neutral,fear,1.0,30-39,26,1.0
2,Woman,Man,1.0,Black,black,1.0,neutral,angry,1.0,20-29,22,1.0
3,Man,Man,1.0,Black,black,1.0,neutral,angry,1.0,30-39,21,1.0
4,Woman,Man,1.0,Black,white,1.0,neutral,neutral,1.0,20-29,55,1.0
5,Man,Man,1.0,Black,black,1.0,neutral,fear,1.0,30-39,30,1.0
6,Woman,Man,1.0,Black,asian,1.0,neutral,fear,1.0,10-19,23,1.0
7,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,23,1.0
8,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,30-39,23,1.0
9,Man,Man,1.0,Black,black,1.0,neutral,fear,1.0,50-59,29,1.0
10,Woman,Man,1.0,Black,black,1.0,neutral,angry,1.0,50-59,28,1.0
11,Woman,Man,1.0,Black,asian,1.0,neutral,neutral,1.0,3-9,23,1.0
12,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,10-19,28,1.0
13,Man,Man,1.0,Black,black,1.0,neutral,fear,1.0,3-9,23,1.0
14,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,23,1.0
15,Woman,Man,1.0,Black,white,1.0,neutral,surprise,1.0,20-29,23,1.0
16,Man,Man,1.0,Black,latino hispanic,1.0,neutral,fear,1.0,3-9,29,1.0
17,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,29,1.0
18,Man,Man,1.0,Black,black,1.0,neutral,surprise,1.0,30-39,23,1.0
19,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,29,1.0
20,Woman,Man,1.0,Black,indian,1.0,neutral,happy,1.0,30-39,22,1.0
21,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,30-39,22,1.0
22,Woman,Man,1.0,Black,black,1.0,neutral,sad,1.0,20-29,29,1.0
23,Man,Man,1.0,Black,white,1.0,neutral,happy,1.0,20-29,22,1.0
24,Man,Man,1.0,Black,asian,1.0,neutral,surprise,1.0,20-29,28,1.0
25,Man,Man,1.0,Black,white,1.0,neutral,happy,1.0,10-19,23,1.0
26,Woman,Man,1.0,Black,white,1.0,neutral,neutral,1.0,20-29,23,1.0
27,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,40-49,22,1.0
28,Man,Man,1.0,Black,black,1.0,neutral,fear,1.0,30-39,22,1.0
29,Woman,Woman,1.0,Black,black,1.0,neutral,happy,1.0,3-9,32,1.0
30,Man,Man,1.0,Black,middle eastern,1.0,neutral,sad,1.0,20-29,29,1.0
31,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,30-39,29,1.0
32,Woman,Man,1.0,Black,black,1.0,neutral,surprise,1.0,0-2,29,1.0
33,Woman,Man,1.0,Black,white,1.0,neutral,fear,1.0,20-29,22,1.0
34,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,30-39,29,1.0
35,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,30-39,23,1.0
36,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,32,1.0
37,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,23,1.0
38,Woman,Man,1.0,Black,black,1.0,neutral,sad,1.0,30-39,22,1.0
39,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,10-19,28,1.0
40,Man,Man,1.0,Black,white,1.0,neutral,happy,1.0,10-19,22,1.0
41,Woman,Man,1.0,Black,black,1.0,neutral,sad,1.0,30-39,29,1.0
42,Man,Man,1.0,Black,black,1.0,neutral,angry,1.0,30-39,23,1.0
43,Woman,Man,1.0,Black,black,1.0,neutral,surprise,1.0,30-39,32,1.0
44,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,0-2,23,1.0
45,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,50-59,24,1.0
46,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,23,1.0
47,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,32,1.0
48,Woman,Man,1.0,Black,white,1.0,neutral,angry,1.0,10-19,18,1.0
49,Man,Man,1.0,Black,black,1.0,neutral,sad,1.0,20-29,23,1.0
50,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,30-39,32,1.0
51,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,10-19,23,1.0
52,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,30-39,22,1.0
53,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,50-59,29,1.0
54,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,40-49,34,1.0
55,Man,Man,1.0,Black,black,1.0,neutral,surprise,1.0,40-49,32,1.0
56,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,23,1.0
57,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,32,1.0
58,Man,Man,1.0,Black,middle eastern,1.0,neutral,angry,1.0,3-9,22,1.0
59,Man,Man,1.0,Black,black,1.0,neutral,sad,1.0,30-39,22,1.0
60,Woman,Man,1.0,Black,asian,1.0,neutral,neutral,1.0,30-39,23,1.0
61,Man,Man,1.0,Black,white,1.0,neutral,angry,1.0,30-39,21,1.0
62,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,20-29,32,1.0
63,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,40-49,32,1.0
64,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,40-49,29,1.0
65,Man,Man,1.0,Black,black,1.0,neutral,angry,1.0,30-39,31,1.0
66,Woman,Man,1.0,Black,latino hispanic,1.0,neutral,surprise,1.0,20-29,32,1.0
67,Man,Man,1.0,Black,white,1.0,neutral,angry,1.0,30-39,23,1.0
68,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,50-59,23,1.0
69,Woman,Man,1.0,Black,black,1.0,neutral,sad,1.0,40-49,29,1.0
70,Woman,Man,1.0,Black,black,1.0,neutral,angry,1.0,30-39,32,1.0
71,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,23,1.0
72,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,10-19,29,1.0
73,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,22,1.0
74,Woman,Man,1.0,Black,black,1.0,neutral,happy,1.0,3-9,26,1.0
75,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,23,1.0
76,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,3-9,23,1.0
77,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,30-39,23,1.0
78,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,30-39,27,1.0
79,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,10-19,21,1.0
80,Man,Man,1.0,Black,black,1.0,neutral,fear,1.0,60-69,28,1.0
81,Man,Man,1.0,Black,black,1.0,neutral,fear,1.0,3-9,28,1.0
82,Woman,Woman,1.0,Black,black,1.0,neutral,fear,1.0,10-19,31,1.0
83,Man,Man,1.0,Black,black,1.0,neutral,angry,1.0,more than 70,23,1.0
84,Man,Man,1.0,Black,black,1.0,neutral,surprise,1.0,20-29,23,1.0
85,Woman,Man,1.0,Black,black,1.0,neutral,sad,1.0,50-59,32,1.0
86,Woman,Man,1.0,Black,black,1.0,neutral,surprise,1.0,40-49,32,1.0
87,Man,Man,1.0,Black,black,1.0,neutral,happy,1.0,30-39,23,1.0
88,Woman,Man,1.0,Black,black,1.0,neutral,neutral,1.0,20-29,23,1.0
89,Woman,Man,1.0,Black,white,1.0,neutral,neutral,1.0,10-19,23,1.0
90,Man,Man,1.0,Black,black,1.0,neutral,neutral,1.0,50-59,23,1.0
91,Woman,Man,1.0,Black,middle eastern,1.0,neutral,fear,1.0,50-59,22,1.0
92,Woman,Man,1.0,Black,black,1.0,neutral,surprise,1.0,40-49,29,1.0
93,Man,Man,1.0,Black,black,1.0,neutral,angry,1.0,40-49,29,1.0
94,Man,Man,1.0,Black,black,1.0,neutral,surprise,1.0,40-49,32,1.0
95,Man,Man,1.0,Black,black,1.0,neutral,disgust,1.0,50-59,31,1.0
96,Man,Man,1.0,Black,black,1.0,neutral,angry,1.0,20-29,23,1.0
