Accuracy on predicting male (1000 images, ethnicity: White, accessory type: facemask, accessory colour: white): 0.95
Accuracy on predicting female (1000 images, ethnicity: White, accessory type: facemask, accessory colour: white): 0.545
Accuracy on predicting male (1000 images, ethnicity: White, accessory type: bandana, accessory colour: white): 0.971
Accuracy on predicting female (1000 images, ethnicity: White, accessory type: bandana, accessory colour: white): 0.545
Accuracy on predicting male (1000 images, ethnicity: White, accessory type: glasses, accessory colour: white): 0.974
Accuracy on predicting female (1000 images, ethnicity: White, accessory type: glasses, accessory colour: white): 0.544
Accuracy on predicting male (1000 images, ethnicity: White, accessory type: facemask, accessory colour: black): 0.966
Accuracy on predicting female (1000 images, ethnicity: White, accessory type: facemask, accessory colour: black): 0.54
Accuracy on predicting male (1000 images, ethnicity: White, accessory type: bandana, accessory colour: black): 0.957
Accuracy on predicting female (1000 images, ethnicity: White, accessory type: bandana, accessory colour: black): 0.533
Accuracy on predicting male (1000 images, ethnicity: White, accessory type: glasses, accessory colour: black): 0.97
Accuracy on predicting female (1000 images, ethnicity: White, accessory type: glasses, accessory colour: black): 0.533
Accuracy on predicting male (1000 images, ethnicity: Black, accessory type: facemask, accessory colour: white): 0.984
Accuracy on predicting female (1000 images, ethnicity: Black, accessory type: facemask, accessory colour: white): 0.186
Accuracy on predicting male (1000 images, ethnicity: Black, accessory type: bandana, accessory colour: white): 0.976
Accuracy on predicting female (1000 images, ethnicity: Black, accessory type: bandana, accessory colour: white): 0.164
Accuracy on predicting male (1000 images, ethnicity: Black, accessory type: glasses, accessory colour: white): 0.983
Accuracy on predicting female (1000 images, ethnicity: Black, accessory type: glasses, accessory colour: white): 0.188
Accuracy on predicting male (1000 images, ethnicity: Black, accessory type: facemask, accessory colour: black): 0.984
Accuracy on predicting female (1000 images, ethnicity: Black, accessory type: facemask, accessory colour: black): 0.174
Accuracy on predicting male (1000 images, ethnicity: Black, accessory type: bandana, accessory colour: black): 0.988
Accuracy on predicting female (1000 images, ethnicity: Black, accessory type: bandana, accessory colour: black): 0.206
Accuracy on predicting male (1000 images, ethnicity: Black, accessory type: glasses, accessory colour: black): 0.985
Accuracy on predicting female (1000 images, ethnicity: Black, accessory type: glasses, accessory colour: black): 0.155
Accuracy on predicting male (1000 images, ethnicity: East Asian, accessory type: facemask, accessory colour: white): 0.972
Accuracy on predicting female (1000 images, ethnicity: East Asian, accessory type: facemask, accessory colour: white): 0.525
Accuracy on predicting male (1000 images, ethnicity: East Asian, accessory type: bandana, accessory colour: white): 0.961
Accuracy on predicting female (1000 images, ethnicity: East Asian, accessory type: bandana, accessory colour: white): 0.519
Accuracy on predicting male (1000 images, ethnicity: East Asian, accessory type: glasses, accessory colour: white): 0.966
Accuracy on predicting female (1000 images, ethnicity: East Asian, accessory type: glasses, accessory colour: white): 0.51
Accuracy on predicting male (1000 images, ethnicity: East Asian, accessory type: facemask, accessory colour: black): 0.957
Accuracy on predicting female (1000 images, ethnicity: East Asian, accessory type: facemask, accessory colour: black): 0.487
Accuracy on predicting male (1000 images, ethnicity: East Asian, accessory type: bandana, accessory colour: black): 0.967
Accuracy on predicting female (1000 images, ethnicity: East Asian, accessory type: bandana, accessory colour: black): 0.52
Accuracy on predicting male (1000 images, ethnicity: East Asian, accessory type: glasses, accessory colour: black): 0.96
Accuracy on predicting female (1000 images, ethnicity: East Asian, accessory type: glasses, accessory colour: black): 0.512
