,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
0,Man,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,31,1.0
1,Man,Man,1.0,Indian,asian,1.0,neutral,sad,1.0,3-9,23,1.0
2,Man,Man,1.0,Indian,black,1.0,neutral,neutral,1.0,10-19,23,1.0
3,Man,Man,1.0,Indian,asian,1.0,neutral,neutral,1.0,20-29,22,1.0
4,Man,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,23,1.0
5,Man,Man,1.0,Indian,black,1.0,neutral,happy,1.0,30-39,23,1.0
6,Woman,Woman,1.0,Indian,indian,1.0,neutral,neutral,1.0,30-39,29,1.0
7,Woman,Man,1.0,Indian,indian,1.0,neutral,surprise,1.0,20-29,23,1.0
8,Woman,Man,1.0,Indian,black,1.0,neutral,happy,1.0,10-19,22,1.0
9,Man,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,40-49,46,1.0
10,Man,Man,1.0,Indian,black,1.0,neutral,neutral,1.0,40-49,29,1.0
11,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,3-9,32,1.0
12,Man,Man,1.0,Indian,black,1.0,neutral,happy,1.0,10-19,23,1.0
13,Woman,Man,1.0,Indian,middle eastern,1.0,neutral,happy,1.0,10-19,32,1.0
14,Man,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,28,1.0
15,Man,Man,1.0,Indian,black,1.0,neutral,happy,1.0,10-19,32,1.0
16,Man,Man,1.0,Indian,white,1.0,neutral,surprise,1.0,3-9,23,1.0
17,Man,Man,1.0,Indian,indian,1.0,neutral,angry,1.0,10-19,23,1.0
18,Woman,Woman,1.0,Indian,latino hispanic,1.0,neutral,happy,1.0,20-29,28,1.0
19,Man,Man,1.0,Indian,black,1.0,neutral,happy,1.0,20-29,32,1.0
20,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,neutral,1.0,30-39,23,1.0
21,Man,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,30-39,23,1.0
22,Woman,Woman,1.0,Indian,indian,1.0,neutral,happy,1.0,40-49,26,1.0
23,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,happy,1.0,10-19,32,1.0
24,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,20-29,29,1.0
25,Man,Man,1.0,Indian,indian,1.0,neutral,surprise,1.0,40-49,31,1.0
26,Man,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,20-29,33,1.0
27,Man,Man,1.0,Indian,black,1.0,neutral,fear,1.0,10-19,23,1.0
28,Woman,Man,1.0,Indian,indian,1.0,neutral,angry,1.0,30-39,24,1.0
29,Man,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,23,1.0
30,Woman,Man,1.0,Indian,black,1.0,neutral,surprise,1.0,10-19,32,1.0
31,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,32,1.0
32,Woman,Man,1.0,Indian,indian,1.0,neutral,sad,1.0,30-39,23,1.0
33,Man,Man,1.0,Indian,black,1.0,neutral,happy,1.0,40-49,29,1.0
34,Woman,Man,1.0,Indian,asian,1.0,neutral,happy,1.0,40-49,29,1.0
35,Man,Man,1.0,Indian,middle eastern,1.0,neutral,happy,1.0,30-39,31,1.0
36,Woman,Woman,1.0,Indian,indian,1.0,neutral,happy,1.0,30-39,29,1.0
37,Woman,Man,1.0,Indian,white,1.0,neutral,sad,1.0,more than 70,21,1.0
38,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,20-29,32,1.0
39,Man,Man,1.0,Indian,white,1.0,neutral,happy,1.0,60-69,54,1.0
40,Man,Man,1.0,Indian,latino hispanic,1.0,neutral,happy,1.0,30-39,32,1.0
41,Woman,Man,1.0,Indian,black,1.0,neutral,happy,1.0,10-19,21,1.0
42,Woman,Man,1.0,Indian,indian,1.0,neutral,neutral,1.0,30-39,50,1.0
43,Man,Man,1.0,Indian,latino hispanic,1.0,neutral,neutral,1.0,10-19,23,1.0
44,Man,Man,1.0,Indian,asian,1.0,neutral,neutral,1.0,30-39,22,1.0
45,Man,Man,1.0,Indian,asian,1.0,neutral,happy,1.0,40-49,31,1.0
46,Man,Man,1.0,Indian,black,1.0,neutral,neutral,1.0,10-19,23,1.0
47,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,30-39,29,1.0
48,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,40-49,23,1.0
49,Man,Man,1.0,Indian,indian,1.0,neutral,angry,1.0,10-19,23,1.0
50,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,30-39,23,1.0
51,Man,Man,1.0,Indian,black,1.0,neutral,surprise,1.0,20-29,23,1.0
52,Woman,Man,1.0,Indian,middle eastern,1.0,neutral,happy,1.0,10-19,23,1.0
53,Man,Man,1.0,Indian,indian,1.0,neutral,surprise,1.0,3-9,32,1.0
54,Man,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,60-69,23,1.0
55,Man,Man,1.0,Indian,black,1.0,neutral,happy,1.0,20-29,23,1.0
56,Woman,Man,1.0,Indian,indian,1.0,neutral,fear,1.0,20-29,32,1.0
57,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,10-19,28,1.0
58,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,10-19,29,1.0
59,Man,Man,1.0,Indian,middle eastern,1.0,neutral,surprise,1.0,30-39,23,1.0
60,Woman,Woman,1.0,Indian,indian,1.0,neutral,neutral,1.0,30-39,32,1.0
61,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,20-29,21,1.0
62,Man,Man,1.0,Indian,indian,1.0,neutral,neutral,1.0,30-39,23,1.0
63,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,50-59,28,1.0
64,Woman,Man,1.0,Indian,indian,1.0,neutral,happy,1.0,20-29,23,1.0
65,Woman,Man,1.0,Indian,black,1.0,neutral,happy,1.0,10-19,22,1.0
66,Woman,Man,1.0,Indian,latino hispanic,1.0,neutral,happy,1.0,10-19,29,1.0
