,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
0,Woman,Woman,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,30-39,32,1.0
1,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,happy,1.0,10-19,29,1.0
2,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,happy,1.0,30-39,28,1.0
3,Man,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,3-9,23,1.0
4,Man,Man,1.0,Latino_Hispanic,middle eastern,1.0,neutral,fear,1.0,40-49,20,1.0
5,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,fear,1.0,30-39,22,1.0
6,Man,Man,1.0,Latino_Hispanic,black,1.0,neutral,happy,1.0,40-49,32,1.0
7,Woman,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,3-9,20,1.0
8,Woman,Woman,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,20-29,20,1.0
9,Woman,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,3-9,23,1.0
10,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,neutral,1.0,20-29,28,1.0
11,Man,Man,1.0,Latino_Hispanic,middle eastern,1.0,neutral,surprise,1.0,30-39,32,1.0
12,Woman,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,10-19,27,1.0
13,Woman,Woman,1.0,Latino_Hispanic,asian,1.0,neutral,neutral,1.0,30-39,32,1.0
14,Woman,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,3-9,20,1.0
15,Woman,Woman,1.0,Latino_Hispanic,indian,1.0,neutral,happy,1.0,20-29,28,1.0
16,Woman,Woman,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,fear,1.0,40-49,32,1.0
17,Woman,Man,1.0,Latino_Hispanic,black,1.0,neutral,happy,1.0,10-19,22,1.0
18,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,happy,1.0,20-29,23,1.0
19,Woman,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,20-29,23,1.0
20,Woman,Woman,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,20-29,27,1.0
21,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,fear,1.0,40-49,20,1.0
22,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,angry,1.0,20-29,21,1.0
23,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,angry,1.0,20-29,21,1.0
24,Man,Man,1.0,Latino_Hispanic,asian,1.0,neutral,sad,1.0,30-39,23,1.0
25,Woman,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,fear,1.0,50-59,32,1.0
26,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,20-29,20,1.0
27,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,happy,1.0,40-49,23,1.0
28,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,20-29,23,1.0
29,Woman,Man,1.0,Latino_Hispanic,black,1.0,neutral,neutral,1.0,20-29,23,1.0
30,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,40-49,23,1.0
31,Woman,Man,0.989949,Latino_Hispanic,latino hispanic,0.989949,neutral,surprise,0.989949,30-39,23,0.989949
32,Man,Man,1.0,Latino_Hispanic,middle eastern,1.0,neutral,happy,1.0,20-29,21,1.0
33,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,fear,1.0,20-29,23,1.0
34,Woman,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,50-59,29,1.0
35,Woman,Woman,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,fear,1.0,20-29,28,1.0
36,Woman,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,10-19,29,1.0
37,Woman,Man,1.0,Latino_Hispanic,indian,1.0,neutral,surprise,1.0,3-9,23,1.0
38,Woman,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,3-9,28,1.0
39,Man,Man,1.0,Latino_Hispanic,white,1.0,neutral,surprise,1.0,30-39,33,1.0
40,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,50-59,31,1.0
41,Man,Man,1.0,Latino_Hispanic,black,1.0,neutral,sad,1.0,10-19,23,1.0
42,Woman,Woman,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,happy,1.0,30-39,32,1.0
43,Man,Man,1.0,Latino_Hispanic,black,1.0,neutral,fear,1.0,30-39,23,1.0
44,Man,Man,1.0,Latino_Hispanic,latino hispanic,1.0,neutral,fear,1.0,3-9,23,1.0
45,Woman,Man,1.0,Latino_Hispanic,white,1.0,neutral,happy,1.0,40-49,31,1.0
46,Man,Man,1.0,Latino_Hispanic,asian,1.0,neutral,happy,1.0,20-29,29,1.0
47,Man,Man,1.0,Latino_Hispanic,white,1.0,neutral,fear,1.0,20-29,22,1.0
48,Man,Man,1.0,Latino_Hispanic,asian,1.0,neutral,sad,1.0,30-39,23,1.0
49,Man,Man,1.0,Latino_Hispanic,asian,1.0,neutral,fear,1.0,30-39,29,1.0
