,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
0,Male,Man,1.0,Maori,latino hispanic,1.0,neutral,fear,1.0,50,54,1.0
1,Male,Man,1.0,Maori,asian,1.0,neutral,angry,1.0,60,82,1.0
2,Male,Man,1.0,Maori,white,1.0,happy,happy,1.0,55,39,1.0
3,Male,Man,1.0,Maori,white,1.0,neutral,happy,1.0,70,31,1.0
4,Male,Man,1.0,Maori,asian,1.0,neutral,neutral,1.0,65,22,1.0
5,Female,Man,1.0,Maori,latino hispanic,1.0,neutral,happy,1.0,55,53,1.0
6,Female,Man,1.0,Maori,latino hispanic,1.0,happy,sad,1.0,70,53,1.0
7,Female,Man,1.0,Maori,white,1.0,happy,happy,1.0,60,23,1.0
8,Male,Man,1.0,Maori,white,1.0,neutral,neutral,1.0,55,39,1.0
9,Male,Man,1.0,Maori,middle eastern,1.0,neutral,fear,1.0,75,39,1.0
10,Male,Man,1.0,Maori,white,1.0,happy,surprise,1.0,55,53,1.0
11,Female,Man,1.0,Maori,asian,1.0,neutral,neutral,1.0,60,65,1.0
12,Male,Man,1.0,Maori,middle eastern,1.0,happy,neutral,1.0,45,23,1.0
13,Female,Man,1.0,Maori,asian,1.0,happy,happy,1.0,60,69,1.0
14,Male,Man,1.0,Maori,white,1.0,happy,happy,1.0,60,23,1.0
15,Female,Man,1.0,Maori,asian,1.0,neutral,fear,1.0,50,53,1.0
16,Male,Man,1.0,Maori,white,1.0,angry,sad,1.0,60,53,1.0
17,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,25,24,1.0
18,Female,Woman,1.0,Maori,latino hispanic,1.0,happy,happy,1.0,55,53,1.0
19,Female,Man,1.0,European,white,1.0,happy,surprise,1.0,50,39,1.0
20,Female,Man,1.0,Maori,white,1.0,happy,happy,1.0,55,23,1.0
21,Male,Man,1.0,Maori,white,1.0,happy,happy,1.0,45,47,1.0
22,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,65,66,1.0
23,Female,Man,1.0,Maori,latino hispanic,1.0,angry,sad,1.0,60,53,1.0
24,Female,Man,1.0,Maori,white,1.0,happy,happy,1.0,60,54,1.0
25,Female,Woman,1.0,Maori,latino hispanic,1.0,neutral,angry,1.0,30,25,1.0
26,Male,Man,1.0,Maori,middle eastern,1.0,neutral,sad,1.0,70,54,1.0
27,Female,Woman,1.0,Maori,latino hispanic,1.0,neutral,happy,1.0,55,53,1.0
28,Male,Man,1.0,Maori,asian,1.0,happy,angry,1.0,65,61,1.0
29,Female,Woman,1.0,Maori,white,1.0,happy,happy,1.0,30,20,1.0
30,Female,Man,1.0,Maori,latino hispanic,1.0,happy,fear,1.0,35,32,1.0
31,Female,Man,1.0,Maori,asian,1.0,angry,fear,1.0,55,54,1.0
32,Female,Man,1.0,Maori,white,1.0,neutral,sad,1.0,75,22,1.0
33,Female,Woman,1.0,Maori,white,1.0,neutral,neutral,1.0,30,20,1.0
34,Male,Man,1.0,Maori,white,1.0,neutral,sad,1.0,60,53,1.0
35,Male,Man,1.0,European,middle eastern,1.0,happy,happy,1.0,45,23,1.0
36,Male,Man,1.0,Maori,white,1.0,neutral,fear,1.0,70,65,1.0
