,True Gender,Classified Gender,Gender confidence,True Ethnicity,Classified Ethnicity,Ethnicity confidence,True Mood,Classified Mood,Mood confidence,True Age,Classified Age,Age confidence
0,Woman,Woman,1.0,White,white,1.0,neutral,happy,1.0,10-19,31,1.0
1,Woman,Man,1.0,White,white,1.0,neutral,neutral,1.0,20-29,27,1.0
2,Woman,Man,1.0,White,white,1.0,neutral,surprise,1.0,20-29,32,1.0
3,Man,Man,1.0,White,white,1.0,neutral,happy,1.0,20-29,22,1.0
4,Man,Man,1.0,White,white,1.0,neutral,fear,1.0,30-39,20,1.0
5,Man,Man,1.0,White,white,1.0,neutral,neutral,1.0,40-49,22,1.0
6,Man,Man,1.0,White,white,1.0,neutral,angry,1.0,20-29,22,1.0
7,Man,Man,1.0,White,white,1.0,neutral,happy,1.0,3-9,22,1.0
8,Man,Man,1.0,White,white,1.0,neutral,happy,1.0,30-39,23,1.0
9,Woman,Man,1.0,White,white,1.0,neutral,sad,1.0,20-29,22,1.0
10,Woman,Man,1.0,White,asian,1.0,neutral,happy,1.0,20-29,32,1.0
11,Woman,Man,1.0,White,white,1.0,neutral,happy,1.0,40-49,32,1.0
12,Man,Man,1.0,White,asian,1.0,neutral,angry,1.0,3-9,32,1.0
13,Woman,Woman,0.9999976,White,white,0.9999976,neutral,happy,0.9999976,30-39,39,0.9999976
14,Man,Man,1.0,White,white,1.0,neutral,fear,1.0,10-19,23,1.0
15,Woman,Man,1.0,White,white,1.0,neutral,happy,1.0,10-19,22,1.0
16,Woman,Woman,1.0,White,white,1.0,neutral,angry,1.0,40-49,20,1.0
17,Woman,Man,1.0,White,white,1.0,neutral,sad,1.0,10-19,20,1.0
18,Woman,Man,1.0,White,white,1.0,neutral,happy,1.0,20-29,32,1.0
19,Man,Man,1.0,White,white,1.0,neutral,fear,1.0,20-29,22,1.0
20,Woman,Man,1.0,White,white,1.0,neutral,happy,1.0,20-29,27,1.0
21,Woman,Man,1.0,White,white,1.0,neutral,sad,1.0,20-29,23,1.0
22,Man,Man,1.0,White,white,1.0,neutral,fear,1.0,20-29,28,1.0
23,Man,Man,1.0,White,middle eastern,1.0,neutral,fear,1.0,20-29,22,1.0
24,Man,Man,1.0,White,white,1.0,neutral,sad,1.0,10-19,20,1.0
25,Man,Man,1.0,White,white,1.0,neutral,fear,1.0,60-69,21,1.0
